Category,Presenters 1,Presenters 2
Best Motion Picture - Drama,Amber Heard,Reese Witherspoon
Best Motion Picture - Musical or Comedy,Anne Hathaway,Jamie Lee Curtis
Best Performance by an Actress in a Motion Picture - Drama,Janelle Monae,Emma Watson
Best Performance by an Actor in a Motion Picture - Drama,Sam Elliot,
Best Performance by an Actress in a Motion Picture - Musical or Comedy,Bill Murray,Adam Driver
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Lady Gaga,
Best Performance by an Actress in a Supporting Role in any Motion Picture,Bradley Cooper,
Best Performance by an Actor in a Supporting Role in any Motion Picture,Idris Elba,Halle Berry
Best Director - Motion Picture,Jamie Lee Curtis,
Best Screenplay - Motion Picture,Harrison Ford ,Kerry Washington
Best Motion Picture - Animated,Halle Berry,
Best Motion Picture - Foreign Language,Lena Waithe ,
Best Original Score - Motion Picture,Nicole Kidman,Jessica Chastain
Best Original Song - Motion Picture,Emma Stone,
Best Television Series - Drama,Jim Parsons,
Best Television Series - Musical or Comedy,Lupita Nyong'o,Keith Urban
Best Television Limited Series or Motion Picture Made for Television,Saoirse Ronan,
Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Gary Oldman,Alicia Vikander
Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jessica Chastain,
Best Performance by an Actress In A Television Series - Drama,Sam Rockwell,Sebastian Stan
Best Performance by an Actor In A Television Series - Drama,Lupita Nyong'o,
Best Performance by an Actress in a Television Series - Musical or Comedy,Bradley Cooper,
Best Performance by an Actor in a Television Series - Musical or Comedy,Amber Heard,Octavia Spencer
"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Lena Waithe ,Andy Samberg
"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Lady Gaga,Seth Rogen
Cecil B. deMille Award,Bradley Cooper,
