Category,Presenters 1,Presenters 2
Best Motion Picture - Drama,Jennifer Aniston,
Best Motion Picture - Musical or Comedy,Roseanne Barr,
Best Performance by an Actress in a Motion Picture - Drama,Halle Berry,Greta Gerwig
Best Performance by an Actor in a Motion Picture - Drama,Carol Burnett,
Best Performance by an Actress in a Motion Picture - Musical or Comedy,Mariah Carey,
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jessica Chastain,Allison Janney
Best Performance by an Actress in a Supporting Role in any Motion Picture,Emilia Clarke,Sharon Stone
Best Performance by an Actor in a Supporting Role in any Motion Picture,Kelly Clarkson,
Best Director - Motion Picture,Penelope Cruz,Chris Hemsworth
Best Screenplay - Motion Picture,Darren Criss,
Best Motion Picture - Animated,Geena Davis,
Best Original Score - Motion Picture,Viola Davis,Jennifer Aniston
Best Original Song,Zac Efron,Susan Sarandon
Best Motion Picture - Foreign Language,Gal Gadot,
Best Television Series - Drama,Greta Gerwig,Jessica Chastain
Best Television Series - Musical or Comedy,John Goodman,
Best Television Limited Series or Motion Picture Made for Television,Hugh Grant,Isabelle Huppert
Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Kit Harington,
Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Neil Patrick Harris,Emilia Clarke
Best Performance by an Actress In A Television Series - Drama,Salma Hayek,
Best Performance by an Actor In A Television Series - Drama,Garrett Hedlund,
Best Performance by an Actress in a Television Series - Musical or Comedy,Chris Hemsworth,
Best Performance by an Actor in a Television Series - Musical or Comedy,Christina Hendricks,Dakota Johnson
"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ron Howard,Keith Urban
"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kate Hudson,
Cecil B. deMille Award,Darren Criss,
