Category,Winners
Best Motion Picture - Drama,Boyhood
Best Motion Picture - Musical or Comedy,The Grand Budapest Hotel
Best Performance by an Actress in a Motion Picture - Drama,Julianne Moore
Best Performance by an Actor in a Motion Picture - Drama,Eddie Redmayne
Best Performance by an Actress in a Motion Picture - Musical or Comedy,Amy Adams
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Michael Keaton
Best Performance by an Actress in a Supporting Role in any Motion Picture,Patricia Arquette
Best Performance by an Actor in a Supporting Role in any Motion Picture,J.K. Simmons
Best Director - Motion Picture,Richard Linklater
Best Screenplay - Motion Picture,Birdman
Best Motion Picture - Animated,How to Train Your Dragon 2
Best Motion Picture - Foreign Language,Leviathan
Best Original Score - Motion Picture,The Theory of Everything
Best Original Song - Motion Picture,Selma
Best Television Series - Drama,The Affair
Best Television Series - Musical or Comedy,Transparent
Best Television Limited Series or Motion Picture Made for Television,Fargo
Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Maggie Gyllenhaal
Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Billy Bob Thornton
Best Performance by an Actress In A Television Series - Drama,Ruth Wilson
Best Performance by an Actor In A Television Series - Drama,Kevin Spacey
Best Performance by an Actress in a Television Series - Musical or Comedy,Gina Rodriguez
Best Performance by an Actor in a Television Series - Musical or Comedy,Jeffrey Tambor
"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Joanne Froggatt
"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Matt Bomer
Cecil B. deMille Award,George Clooney
