Category,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5
Best Motion Picture - Drama,Argo,Django Unchained,Life of Pi,Lincoln,Zero Dark Thirty
Best Motion Picture - Musical or Comedy,Les Miserables,Silver Linings Playbook,The Best Exotic Marigold Hotel,Moonrise Kingdom,Salmon Fishing in the Yemen
Best Performance by an Actress in a Motion Picture - Drama,Jessica Chastain,Naomi Watts,Rachel Weisz,Marion Cotillard,Helen Mirren
Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,Richard Gere,Joaquin Phoenix,Denzel Washington,John Hawkes
Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jennifer Lawrence,Emily Blunt,Judi Dench,Maggie Smith,Meryl Streep
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Jackman,Ewan McGregor,Bill Murray,Bradley Cooper,Jack Black
Best Performance by an Actress in a Supporting Role in any Motion Picture,Anne Hathaway,Amy Adams,Helen Hunt,Nicole Kidman,Sally Field
Best Performance by an Actor in a Supporting Role in any Motion Picture,Christoph Waltz,Leonardo DiCaprio,Tommy Lee Jones,Philip Seymour Hoffman,Alan Arkin
Best Director - Motion Picture,Ben Affleck,Kathryn Bigelow,Quentin Tarantino,Ang Lee,Steven Spielberg
Best Screenplay - Motion Picture,Django Unchained,Silver Linings Playbook,Argo,Lincoln,Zero Dark Thirty
Best Motion Picture - Animated,Brave,Wreck-It Ralph,Frankenweenie,Hotel Transylvania,Rise of the Guardians
Best Motion Picture - Foreign Language,Amour,A Royal Affair,The Intouchables,Kon Tiki,Rust and Bone
Best Original Score - Motion Picture,Life of Pi,Lincoln,Anna Karenina,Cloud Atlas,Argo
Best Original Song - Motion Picture,Skyfall,Stand Up Guys,The Hunger Games,Les Miserables,Act of Valor
Best Television Series - Drama,Homeland,Boardwalk Empire,Downton Abbey,The Newsroom,Breaking Bad
Best Television Series - Musical or Comedy,Girls,The Big Bang Theory,Episodes,Modern Family,Smash
Best Television Limited Series or Motion Picture Made for Television,Game Change,The Hour,The Girl,Hatfields & McCoys,Political Animals
Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Julianne Moore,Sienna Miller,Nicole Kidman,Jessica Lange,Sigourney Weaver
Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Kevin Costner,Woody Harrelson,Clive Owen,Benedict Cumberbatch,Toby Jones
Best Performance by an Actress In A Television Series - Drama,Claire Danes,Connie Britton,Michelle Dockery,Glenn Close,Julianna Margulies
Best Performance by an Actor In A Television Series - Drama,Damian Lewis,Jon Hamm,Steve Buscemi,Bryan Cranston,Jeff Daniels
Best Performance by an Actress in a Television Series - Musical or Comedy,Lena Dunham,Zooey Deschanel,Tina Fey,Amy Poehler,Julia Louis-Dreyfus
Best Performance by an Actor in a Television Series - Musical or Comedy,Don Cheadle,Jim Parsons,Alec Baldwin,Matt LeBlanc,Louis C.K.
"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Maggie Smith,Sarah Paulson,Sofia Vergara,Archie Panjabi,Hayden Panettiere
"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ed Harris,Mandy Patinkin,Eric Stonestreet,Max Greenfield,Danny Huston
