Category,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5
Best Motion Picture - Drama,"Three Billboards Outside Ebbing, Missouri",Call Me By Your Name,Dunkirk,The Post,The Shape of Water
Best Motion Picture - Musical or Comedy,Lady Bird,Disaster Artist,Get Out,The Greatest Showman,"I, Tonya"
Best Performance by an Actress in a Motion Picture - Drama,Frances McDormand,Jessica Chastain,Sally Hawkins,Meryl Streep,Michelle Williams
Best Performance by an Actor in a Motion Picture - Drama,Gary Oldman,Denzel Washington,Timothee Chalamet,Daniel Day-Lewis,Tom Hanks
Best Performance by an Actress in a Motion Picture - Musical or Comedy,Saoirse Ronan,Judi Dench,Helen Mirren,Margot Robbie,Emma Stone
Best Performance by an Actor in a Motion Picture - Musical or Comedy,James Franco,Hugh Jackman,Daniel Kaluuya,Steve Carell,Ansel Elgort
Best Performance by an Actress in a Supporting Role in any Motion Picture,Allison Janney,Mary J. Blige,Hong Chau,Laurie Metcalf,Octavia Spencer
Best Performance by an Actor in a Supporting Role in any Motion Picture,Sam Rockwell,Willem Dafoe,Armie Hammer,Richard Jenkins,Christopher Plummer
Best Director - Motion Picture,Guillermo del Toro,Ridley Scott,Steven Spielberg,Martin McDonagh,Christopher Nolan
Best Screenplay - Motion Picture,"Three Billboards Outside Ebbing, Missouri",The Shape of Water,Lady Bird,The Post,Molly's Game
Best Motion Picture - Animated,Coco,The Boss Baby,The Breadwinner,Ferdinand,Loving Vincent
Best Original Score - Motion Picture,Alexandra Desplat,Carter Burwell,Jonny Greenwood,John Williams,Hans Zimmer
Best Original Song,The Greatest Showman,Ferdinand,Mudbound,Coco,The Star
Best Motion Picture - Foreign Language,In the Fade,A Fantastic Woman,First They Killed My Father,Loveless,The Square
Best Television Series - Drama,The Handmaid's Tale,The Crown,Game of Thrones,Stranger Things,This Is Us
Best Television Series - Musical or Comedy,The Marvelous Mrs. Maisel,Black-ish,Master of None,SMILF,Will & Grace
Best Television Limited Series or Motion Picture Made for Television,Big Little Lies,Fargo,Feud: Bette and Joan,The Sinner,Top of the Lake: China Girl
Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Nicole Kidman,Jessica Biel,Jessica Lange,Susan Sarandon,Reese Witherspoon
Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ewan McGregor,Robert De Niro,Jude Law,Kyle MacLachlan,Geoffrey Rush
Best Performance by an Actress In A Television Series - Drama,Elisabeth Moss,Caitriona Balfe,Claire Foy,Maggie Gyllenhaal,Katherine Langford
Best Performance by an Actor In A Television Series - Drama,Sterling K. Brown,Jason Bateman,Freddie Highmore,Bob Odenkirk,Liev Schreiber
Best Performance by an Actress in a Television Series - Musical or Comedy,Rachel Brosnahan,Pamela Adlon,Alison Brie,Issa Rae,Frankie Shaw
Best Performance by an Actor in a Television Series - Musical or Comedy,Aziz Ansari,Anthony Anderson,Kevin Bacon,William H. Macy,Eric McCormack
"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Laura Dern,Ann Dowd,Chrissy Metz,Michelle Pfeiffer,Shailene Woodley
"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Alexander Skarsgard,David Harbour,Alfred Molina,Christian Slater,David Thewlis
